Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4)
2e-15,0.0,0.0,0.0,0.0,0.49999999999999994,0.50000000000000011,1.8161189034293564e-17,4.0465176649422759e-17
4e-15,0.0,0.0,0.0,0.0,0.49999999999999978,0.50000000000000022,2.3969304446587146e-17,9.6154922212288828e-17
8e-15,0.0,0.0,0.0,0.0,0.4999999999999995,0.50000000000000033,2.4062040929362736e-17,2.3953544074472761e-16
1.2000000000000001e-14,0.0,0.0,0.0,0.0,0.49999999999999933,0.50000000000000044,2.3852850867201967e-17,3.7134449383835707e-16
2.0000000000000003e-14,0.0,0.0,0.0,0.0,0.49999999999999872,0.50000000000000056,2.383141943219098e-17,6.2150508452527092e-16
3.6000000000000004e-14,0.0,0.0,0.0,0.0,0.49999999999999772,0.50000000000000111,2.3829470604667403e-17,1.121785351857126e-15
6.800000000000001e-14,0.0,0.0,0.0,0.0,0.49999999999999578,0.50000000000000222,2.3829379937020557e-17,2.1223420795334816e-15
1.3200000000000002e-13,0.0,0.0,0.0,0.0,0.49999999999999178,0.50000000000000422,2.3829377803127397e-17,4.123455355684778e-15
2.6e-13,0.0,0.0,0.0,0.0,0.49999999999998379,0.50000000000000822,2.3829377777962528e-17,8.1256819037446837e-15
5.16e-13,0.0,0.0,0.0,0.0,0.4999999999999678,0.50000000000001621,2.3829377778004233e-17,1.6130134999813871e-14
1e-12,0.0,0.0,0.0,0.0,0.49999999999993749,0.5000000000000312,2.3829377778366175e-17,3.126355413456842e-14
1.028e-12,0.0,0.0,0.0,0.0,0.49999999999993577,0.5000000000000322,2.3829377778387117e-17,3.2139041191950922e-14
2.052e-12,0.0,0.0,0.0,0.0,0.49999999999987171,0.50000000000006417,2.382937777915376e-17,6.4156853576220905e-14
4.100000000000001e-12,0.0,0.0,0.0,0.0,0.49999999999974365,0.50000000000012823,2.3829377780687062e-17,1.2819247834474446e-13
8.196000000000001e-12,0.0,0.0,0.0,0.0,0.49999999999948747,0.50000000000025624,2.3829377783753657e-17,2.5626372788172594e-13
1e-11,0.0,0.0,0.0,0.0,0.49999999999937467,0.50000000000031275,2.382937778510428e-17,3.1267010829297539e-13
1.6388000000000003e-11,0.0,0.0,0.0,0.0,0.49999999999897521,0.50000000000051248,2.3829377789886854e-17,5.1240622695542667e-13
3.2772000000000005e-11,0.0,0.0,0.0,0.0,0.49999999999795058,0.50000000000102462,2.3829377802153246e-17,1.024691225101778e-12
6.554000000000001e-11,0.0,0.0,0.0,0.0,0.49999999999590145,0.50000000000204925,2.3829377826686035e-17,2.0492612213902819e-12
9.999999999999999e-11,0.0,0.0,0.0,0.0,0.49999999999374656,0.50000000000312683,2.3829377852485598e-17,3.1267356498513559e-12
1.3107600000000002e-10,0.0,0.0,0.0,0.0,0.49999999999180322,0.5000000000040985,2.3829377875751621e-17,4.0984012139504958e-12
2.6214800000000005e-10,0.0,0.0,0.0,0.0,0.49999999998360667,0.50000000000819678,2.3829377973882777e-17,8.1966811990037369e-12
5.242920000000001e-10,0.0,0.0,0.0,0.0,0.49999999996721356,0.50000000001639333,2.3829378170145097e-17,1.6393241168841487e-11
9.999999999999999e-10,0.0,0.0,0.0,0.0,0.49999999993746524,0.50000000003126732,2.3829378526298785e-17,3.1267391063082408e-11
1.0485800000000001e-09,0.0,0.0,0.0,0.0,0.49999999993442734,0.50000000003278644,2.3829378562669726e-17,3.2786361107442041e-11
2.097156e-09,0.0,0.0,0.0,0.0,0.49999999986885485,0.50000000006557266,2.3829379347718988e-17,6.5572600980343379e-11
4.194308e-09,0.0,0.0,0.0,0.0,0.49999999973770987,0.50000000013114509,2.3829380917817514e-17,1.3114508070894702e-10
8.388612e-09,0.0,0.0,0.0,0.0,0.49999999947541995,0.50000000026229008,2.3829384058014574e-17,2.6229004009735808e-10
9.999999999999999e-09,0.0,0.0,0.0,0.0,0.49999999937465212,0.50000000031267389,2.3829385264430665e-17,3.126739449352662e-10
1.6777220000000003e-08,0.0,0.0,0.0,0.0,0.49999999895084007,0.50000000052457994,2.3829390338408681e-17,5.2457995859899519e-10
3.3554436000000004e-08,0.0,0.0,0.0,0.0,0.49999999790168048,0.50000000104915987,2.3829402899196923e-17,1.0491597945015304e-09
6.7108868e-08,0.0,0.0,0.0,0.0,0.49999999580336113,0.50000000209831952,2.3829428020773452e-17,2.0983194619036415e-09
9.999999999999998e-08,0.0,0.0,0.0,0.0,0.4999999937465211,0.50000000312673953,2.3829452645749769e-17,3.126739457806487e-09
1.3421773200000002e-07,0.0,0.0,0.0,0.0,0.49999999160672243,0.5000000041966387,2.3829478263926724e-17,4.1966387790960294e-09
2.6843546000000004e-07,0.0,0.0,0.0,0.0,0.49999998321344541,0.5000000083932773,2.3829578750234109e-17,8.3932773430334743e-09
5.368709160000001e-07,0.0,0.0,0.0,0.0,0.49999996642689171,0.50000001678655415,2.3829779722852259e-17,1.6786554189119045e-08
8.053063720000001e-07,0.0,0.0,0.0,0.0,0.4999999496403385,0.50000002517983078,2.3829980695477151e-17,2.5179830753415292e-08
9.999999999999997e-07,0.0,0.0,0.0,0.0,0.49999993746521504,0.50000003126739256,2.3830126458974146e-17,3.1267392488358497e-08
1.073741828e-06,0.0,0.0,0.0,0.0,0.49999993285378591,0.50000003357310707,2.3830181668108795e-17,3.3573107035922254e-08
1.6106127400000001e-06,0.0,0.0,0.0,0.0,0.49999989928068217,0.500000050359659,2.3830583613396732e-17,5.0359658939593961e-08
2.147483652e-06,0.0,0.0,0.0,0.0,0.49999986570758037,0.50000006714620981,2.3830985558713829e-17,6.7146209807025955e-08
3.2212254760000003e-06,0.0,0.0,0.0,0.0,0.49999979856138377,0.50000010071930812,2.3831789449428486e-17,1.0071930813924144e-07
4.2949673e-06,0.0,0.0,0.0,0.0,0.4999997314151961,0.50000013429240198,2.3832593340251661e-17,1.3429240198607599e-07
6.442450948e-06,0.0,0.0,0.0,0.0,0.49999959712284769,0.50000020143857615,2.3834201122222044e-17,2.0143857616161426e-07
9.999999999999997e-06,0.0,0.0,0.0,0.0,0.49999937465249428,0.50000031267375289,2.3836864595478839e-17,3.1267375288154135e-07
1.0737418244e-05,0.0,0.0,0.0,0.0,0.49999932853825918,0.50000033573087044,2.3837416687458725e-17,3.3573087042641209e-07
1.9327352836e-05,0.0,0.0,0.0,0.0,0.49999879136951492,0.50000060431524251,2.3843847823114228e-17,6.043152425528907e-07
3.650722202e-05,0.0,0.0,0.0,0.0,0.49999771703375767,0.50000114148312114,2.3856710115153291e-17,1.1414831211695024e-06
7.0866960388e-05,0.0,0.0,0.0,0.0,0.49999556836916836,0.50000221581541582,2.3882434782142513e-17,2.215815415810401e-06
9.999999999999998e-05,0.0,0.0,0.0,0.0,0.49999374656012602,0.50000312671993707,2.3904246377738342e-17,3.1267199369761453e-06
0.000139586437124,0.0,0.0,0.0,0.0,0.49999127106769037,0.50000436446615482,2.3933884447766445e-17,4.3644661547706019e-06
0.000277025390596,0.0,0.0,0.0,0.0,0.49998267657553597,0.50000866171223202,2.4036785105610752e-17,8.6617122320083635e-06
0.0005519032975400001,0.0,0.0,0.0,0.0,0.49996548803442198,0.50001725598278901,2.4242591727810988e-17,1.7255982789008693e-05
0.0009999999999999998,0.0,0.0,0.0,0.0,0.49993746912060061,0.50003126543969978,2.4578105917982511e-17,3.1265439699709009e-05
0.0011016591114280001,0.0,0.0,0.0,0.0,0.4999311127248891,0.50003444363755545,2.4654226199271752e-17,3.4443637555441704e-05
0.0016514149253160002,0.0,0.0,0.0,0.0,0.49989673977883914,0.50005163011058051,2.5065888974804944e-17,5.1630110580454589e-05
0.002750926553092,0.0,0.0,0.0,0.0,0.49982800097635238,0.50008599951182386,2.588929944809167e-17,8.5999511823792009e-05
0.003850438180868,0.0,0.0,0.0,0.0,0.49975927162581701,0.50012036418709149,2.6712823161387005e-17,0.00012036418709147204
0.004949949808644,0.0,0.0,0.0,0.0,0.49969055172598487,0.50015472413700757,2.7536460129645314e-17,0.00015472413700751478
0.007148973064196,0.0,0.0,0.0,0.0,0.49955314027156938,0.50022342986421542,2.9184073913303446e-17,0.00022342986421530504
0.009128093994192801,0.0,0.0,0.0,0.0,0.49942950227093047,0.50028524886453485,3.0667313807282923e-17,0.00028524886453474852
0.009999999999999998,0.0,0.0,0.0,0.0,0.49937504299223695,0.50031247850388161,3.1320874867597567e-17,0.00031247850388149668
0.0111072149241896,0.0,0.0,0.0,0.0,0.49930589486998767,0.50034705256500622,3.2150920894092765e-17,0.00034705256500613653
0.0130863358541864,0.0,0.0,0.0,0.0,0.49918231806152502,0.50040884096923754,3.3634895260486904e-17,0.00040884096923743981
0.015065456784183199,0.0,0.0,0.0,0.0,0.49905877183802599,0.50047061408098703,3.5119236996685745e-17,0.00047061408098696269
0.0190236986441768,0.0,0.0,0.0,0.0,0.49881177111896224,0.50059411444051893,3.8089022902586101e-17,0.00059411444051883167
0.0229819405041704,0.0,0.0,0.0,0.0,0.49856489265276455,0.50071755367361781,4.1060279332657732e-17,0.00071755367361772595
0.026940182364163998,0.0,0.0,0.0,0.0,0.49831813637608724,0.50084093181195644,4.40330070509571e-17,0.00084093181195634456
0.034856666084151194,0.0,0.0,0.0,0.0,0.49782499014780046,0.50108750492609977,4.9982879280436747e-17,0.0010875049260997687
0.04277314980413839,0.0,0.0,0.0,0.0,0.49733233194747145,0.50133383402626419,5.5938645463526225e-17,0.0013338340262642068
0.05860611724411279,0.0,0.0,0.0,0.0,0.49634847770487606,0.50182576114756194,6.7867882981657064e-17,0.0018257611475619609
0.07443908468408719,0.0,0.0,0.0,0.0,0.49536656978976273,0.50231671510511866,7.982076638894999e-17,0.0023167151051186039
0.09999999999999998,0.0,0.0,0.0,0.0,0.49378546463382084,0.50310726768308944,9.9167652311287421e-17,0.0031072676830895263
0.106105019564036,0.0,0.0,0.0,0.0,0.49340857756628104,0.50329571121685945,1.0379765822189585e-16,0.0032957112168594256
0.1377709544439848,0.0,0.0,0.0,0.0,0.49145832456267929,0.50427083771866033,1.2786969706895129e-16,0.0042708377186602984
0.16943688932393358,0.0,0.0,0.0,0.0,0.48951578018387004,0.50524210990806495,1.5203726055677677e-16,0.0052421099080649158
